kanji,hiragana,english,level
夕飯,ゆうはん,dinner,N5
外,そと,Outside,N5
外国,がいこく,foreign country,N5
外国人,がいこくじん,Foreigner,N5
多い,おおい,many,N5
夜,よる,"evening,night",N5
大きい,おおきい,big,N5
大きな,おおきな,big,N5
大丈夫,だいじょうぶ,all right,N5
大人,おとな,Adult,N5
大使館,たいしかん,embassy,N5
大切,たいせつ,important,N5
大勢,おおぜい,great number of people,N5
大好き,だいすき,to be very likeable,N5
大学,だいがく,university,N5
天気,てんき,weather,N5
太い,ふとい,fat,N5
奥さん,おくさん,(honorable) wife,N5
女,おんな,Woman,N5
女の子,おんなのこ,Girl,N5
好き,すき,Likeable,N5
妹,いもうと,(humble) younger sister,N5
姉,あね,(humble) older sister,N5
始まる,はじまる,to begin,N5
嫌,いや,unpleasant,N5
嫌い,きらい,Hate,N5
子供,こども,Child,N5
字引,じびき,Dictionary,N5
学校,がっこう,School,N5
学生,がくせい,Student,N5
安い,やすい,cheap,N5
家,いえ,house,N5
家庭,かてい,Household,N5
家族,かぞく,Family,N5
宿題,しゅくだい,homework,N5
寒い,さむい,Cold,N5
寝る,ねる,"to go to bed,to sleep",N5
封筒,ふうとう,envelope,N5
小さい,ちいさい,little,N5
小さな,ちいさな,little,N5
少し,すこし,Few,N5
少ない,すくない,a few,N5
居る,いる,"to be, to have (used for people and animals)",N5
山,やま,mountain,N5
川/河,かわ,River,N5
左,ひだり,left hand side,N5
差す,さす,"to stretch out hands, to raise an umbrella",N5
帰る,かえる,to go back,N5
帽子,ぼうし,hat,N5
年,とし,year,N5
広い,ひろい,"spacious,wide",N5
店,みせ,shop,N5
座る,すわる,to sit,N5
庭,にわ,garden,N5
廊下,ろうか,corridor,N5
建物,たてもの,building,N5
引く,ひく,to pull,N5
弟,おとうと,younger brother,N5
弱い,よわい,weak,N5
強い,つよい,powerful,N5
弾く,ひく,"to play an instrument with strings, including piano",N5
待つ,まつ,to wait,N5
後,あと,afterwards,N5
後ろ,うしろ,behind,N5
御飯,ごはん,"cooked rice, meal",N5
忘れる,わすれる,to forget,N5
忙しい,いそがしい,"busy, irritated",N5
悪い,わるい,bad,N5
意味,いみ,meaning,N5
戸,と,Japanese style door,N5
所,ところ,place,N5
手,て,hand,N5
手紙,てがみ,letter,N5
押す,おす,"to push, to stamp something",N5
持つ,もつ,to hold,N5
掃除,そうじする,"to clean, to sweep",N5
授業,じゅぎょう,"lesson, class work",N5
撮る,とる,to take a photo or record a film,N5
教える,おしえる,"to teach, to tell",N5
教室,きょうしつ,Classroom,N5
散歩,さんぽする,to stroll,N5
文章,ぶんしょう,"sentence,text",N5
料理,りょうり,cuisine,N5
新しい,あたらしい,new,N5
新聞,しんぶん,newspaper,N5
方,かた,"person, way of doing",N5
旅行,りょこう,travel,N5
日曜日,にちようび,Sunday,N5
早い,はやい,early,N5
明い,あかるい,bright,N5
明日,あした,tomorrow,N5
易しい,やさしい,"easy, simple",N5
映画,えいが,movie,N5
映画館,えいがかん,cinema,N5
春,はる,spring,N5
昨夜,ゆうべ,last night,N5
昨日,きのう,Yesterday,N5
昼,ひる,"noon, daytime",N5
昼御飯,ひるごはん,midday meal,N5
時々,ときどき,sometimes,N5
時計,とけい,"watch,clock",N5
時間,じかん,Time,N5
晩,ばん,evening,N5
晩御飯,ばんごはん,evening meal,N5
晴れ,はれ,clear weather,N5
晴れる,はれる,to be sunny,N5
暇,ひま,free time,N5
暑い,あつい,hot,N5
暖かい,あたたかい,warm,N5
暗い,くらい,Gloomy,N5
曇り,くもり,cloudy weather,N5
曇る,くもる,"to become cloudy, to become dim",N5
曲る,まがる,"to turn,to bend",N5
書く,かく,to write,N5
月曜日,げつようび,Monday,N5
有名,ゆうめい,famous,N5
服,ふく,clothes,N5
朝,あさ,morning,N5
朝御飯,あさごはん,breakfast,N5
木,き,"tree, wood",N5
木曜日,もくようび,Thursday,N5
本,ほん,book,N5
本棚,ほんだな,bookshelves,N5
机,つくえ,desk,N5
村,むら,village,N5
来る,くる,to come,N5
来年,らいねん,next year,N5
来月,らいげつ,next month,N5
来週,らいしゅう,next week,N5
東,ひがし,east,N5
果物,くだもの,Fruit,N5
楽しい,たのしい,enjoyable,N5
横,よこ,"beside,side,width",N5
橋,はし,bridge,N5
次,つぎ,next,N5
欲しい,ほしい,want,N5
歌,うた,song,N5
歌う,うたう,to sing,N5
止まる,とまる,to come to a halt,N5
歩く,あるく,to walk,N5
歯,は,tooth,N5
死ぬ,しぬ,to die,N5
毎年,まいねん/まいとし,every year,N5
毎日,まいにち,every day,N5
毎晩,まいばん,every night,N5
毎月,まいげつ/まいつき,every month,N5
毎朝,まいあさ,every morning,N5
毎週,まいしゅう,every week,N5
水曜日,すいようび,Wednesday,N5
汚い,きたない,Dirty,N5
池,いけ,pond,N5
泳ぐ,およぐ,to swim,N5
洋服,ようふく,western-style clothes,N5
洗う,あらう,to wash,N5
洗濯,せんたく,Washing,N5
海,うみ,sea,N5
消える,きえる,to disappear,N5
消す,けす,"to erase, to turn off power",N5
涼しい,すずしい,Refreshing,N5
渡す,わたす,to hand over,N5
渡る,わたる,to go across,N5
温い,ぬるい,luke warm,N5
漢字,かんじ,Chinese character,N5
火曜日,かようび,Tuesday,N5
灰皿,はいざら,ashtray,N5
無くす,なくす,to lose something,N5
煩い,うるさい,"noisy, annoying",N5
熱い,あつい,hot to the touch,N5
牛乳,ぎゅうにゅう,Milk,N5
牛肉,ぎゅうにく,Beef,N5
物,もの,thing,N5
犬,いぬ,dog,N5
狭い,せまい,Narrow,N5
猫,ねこ,cat,N5
玄関,げんかん,entry hall,N5
甘い,あまい,sweet,N5
生まれる,うまれる,to be born,N5
生徒,せいと,Pupil,N5
男,おとこ,Man,N5
男の子,おとこのこ,Boy,N5
町,まち,"town,city",N5
留学生,りゅうがくせい,overseas student,N5
番号,ばんごう,number,N5
疲れる,つかれる,to get tired,N5
病気,びょうき,illness,N5
病院,びょういん,hospital,N5
痛い,いたい,painful,N5
登る,のぼる,to climb,N5
白,しろ,White,N5
白い,しろい,White,N5
百,ひゃく,hundred,N5
皆さん,みなさん,everyone,N5
目,め,eye,N5
眼鏡,めがね,glasses,N5
着く,つく,to arrive at,N5
着る,きる,to put on from the shoulders down,N5
知る,しる,to know,N5
短い,みじかい,short,N5
砂糖,さとう,Sugar,N5
磨く,みがく,"to brush teeth, to polish",N5
私,わたし,"I,myself",N5
秋,あき,autumn,N5
空,そら,Sky,N5
窓,まど,window,N5
立つ,たつ,to stand,N5
答える,こたえる,to answer,N5
箱,はこ,box,N5
紅茶,こうちゃ,black tea,N5
紙,かみ,paper,N5
細い,ほそい,thin,N5
終る,おわる,to finish,N5
結婚,けっこん,Marriage,N5
結構,けっこう,"splendid, enough",N5
絵,え,picture,N5
緑,みどり,green,N5
締める,しめる,to tie,N5
練習,れんしゅうする,to practice,N5
置く,おく,to put,N5
習う,ならう,to learn,N5
耳,みみ,ear,N5
聞く,きく,"to hear, to listen to, to ask",N5
肉,にく,meat,N5
背,せ,"height, stature",N5
背広,せびろ,business suit,N5
脱ぐ,ぬぐ,to take off clothes,N5
自分,じぶん,Oneself,N5
自動車,じどうしゃ,Automobile,N5
自転車,じてんしゃ,Bicycle,N5
色,いろ,colour,N5
花,はな,flower,N5
花瓶,かびん,a vase,N5
若い,わかい,young,N5
英語,えいご,English language,N5
茶色,ちゃいろ,brown,N5
荷物,にもつ,luggage,N5
葉書,はがき,postcard,N5
薄い,うすい,"thin,weak",N5
薬,くすり,medicine,N5
行く,ゆく,to go,N5
西,にし,west,N5
要る,いる,to need,N5
見せる,みせる,to show,N5
見る 観る,みる,"to see, to watch",N5
覚える,おぼえる,to remember,N5
角,かど,a corner,N5
言う,いう,to say,N5
言葉,ことば,"word, language",N5
話,はなし,"talk,story",N5
話す,はなす,to speak,N5
誕生日,たんじょうび,birthday,N5
読む,よむ,to read,N5
誰,だれか,somebody,N5
警官,けいかん,policeman,N5
豚肉,ぶたにく,pork,N5
財布,さいふ,Wallet,N5
買い物,かいもの,Shopping,N5
買う,かう,to buy,N5
貸す,かす,to lend,N5
貼る,はる,to stick,N5
賑やか,にぎやか,"bustling,busy",N5
質問,しつもん,Question,N5
赤,あか,red,N5
赤い,あかい,red,N5
走る,はしる,to run,N5
起きる,おきる,to get up,N5
足,あし,"foot, leg",N5
車,くるま,"car, vehicle",N5
軽い,かるい,Light,N5
辛い,からい,Spicy,N5
辞書,じしょ,Dictionary,N5
辺,へん,area,N5
近い,ちかい,near,N5
近く,ちかく,near,N5
返す,かえす,to return something,N5
速い,はやい,quick,N5
遅い,おそい,"late, slow",N5
遊ぶ,あそぶ,"to play, to make a visit",N5
道,みち,street,N5
違う,ちがう,to differ,N5
遠い,とおい,far,N5
部屋,へや,room,N5
郵便局,ゆうびんきょく,post office,N5
重い,おもい,Heavy,N5
野菜,やさい,vegetable,N5
金曜日,きんようび,Friday,N5
鉛筆,えんぴつ,pencil,N5
銀行,ぎんこう,Bank,N5
長い,ながい,long,N5
門,もん,gate,N5
閉まる,しまる,"to close, to be closed",N5
閉める,しめる,to close something,N5
開く,あく,"to open, to become open",N5
開ける,あける,to open,N5
降りる,おりる,"to get off, to descend",N5
降る,ふる,"to fall, e.g. rain or snow",N5
階段,かいだん,Stairs,N5
隣,となり,next door to,N5
雑誌,ざっし,Magazine,N5
難しい,むずかしい,difficult,N5
雨,あめ,rain,N5
雪,ゆき,snow,N5
零,れい,zero,N5
電気,でんき,"electricity,electric light",N5
電話,でんわ,telephone,N5
電車,でんしゃ,electric train,N5
青,あお,blue,N5
青い,あおい,blue,N5
静か,しずか,Quiet,N5
靴,くつ,Shoes,N5
靴下,くつした,Socks,N5
音楽,おんがく,Music,N5
頭,あたま,head,N5
頼む,たのむ,to ask,N5
風,かぜ,Wind,N5
風邪,かぜ,a cold,N5
飛ぶ,とぶ,"to fly,to hop",N5
飛行機,ひこうき,aeroplane,N5
食べる,たべる,to eat,N5
食べ物,たべもの,food,N5
食堂,しょくどう,dining hall,N5
飲み物,のみもの,a drink,N5
飲む,のむ,to drink,N5
飴,あめ,candy,N5
駅,えき,station,N5
高い,たかい,"tall, expensive",N5
魚,さかな,Fish,N5
鳥,とり,bird,N5
鳴く,なく,"animal noise. to chirp, roar or croak etc.",N5
黄色,きいろ,yellow,N5
黄色い,きいろい,yellow,N5
黒,くろ,Black,N5
黒い,くろい,black,N5
鼻,はな,nose,N5
いえ,いえ,TODO same as いいえ?,N4
いつも,いつも,"always,usually,every time,never (with neg. verb)",N4
うまい,うまい,delicious,N4
うん,（感）,"fortune,luck",N4
お互い,おたがい,"mutual,reciprocal,each other",N4
お昼,おひる,"lunch,noon",N4
お目に掛かる,おめにかかる,,N4
お腹,おなか,stomach,N4
ここ,ここ,here,N4
この,この,this,N4
ジェット機,ジェットき,jet aeroplane,N4
したがって,したがって,"therefore,consequently,in accordance with",N4
しまい,（終わり）,sisters,N4
しまう,（終わる）,"to finish,to close,to do something completely",N4
しまった,（感）,Damn it!,N4
すみません,（感）,"sorry,excuse me",N4
すると,すると,"thereupon,hereupon",N4
そう,そう,so,N4
そこ,そこ,"bottom,sole",N4
その,その,"the,that",N4
それ,（接。感）,"it,that",N4
だが,だが,,N4
だから,だから,"so,therefore",N4
できる,（可能。出現。発生）,"to be able to,to be ready,to occur",N4
では,では,"chance of going out,opportunity (to succeed),moment of departure,beginning of work",N4
でも,でも,"but,however",N4
どう,（接。副）,"child,servant,foolishness",N4
どれ,どれ,"well,now,let me see,which (of three or more)",N4
とん,（N1000,ton,N4
ね,（感）,"value,price,cost,worth,merit",N4
ノー,（no）,,N4
はあ,（感）,,N4
はい,（感）,"wear,put on (sword)",N4
ふと,（副）,"suddenly,casually,accidentally,incidentally,unexpectedly,unintentionally",N4
よろしく,（感）,"well,properly,suitably,best regards,please remember me",N4
一人一人,ひとりひとり,"one by one,each,one at a time",N4
一体,いったい,"(N1) one object,one body,(N2) what on earth?,really?,(N3) generally",N4
一家,いっか,"a house,a home,a family,a household",N4
一層,いっそう,"much more,still more,all the more",N4
一度に,いちどに,all at once,N4
一方,いっぽう,"(N1) on the other hand,(N2) meanwhile,(N3) only,simple,in turn",N4
一時,いちじ,"moment,time",N4
一生,いっしょう,"whole life,a lifetime,all through life",N4
一番,いちばん,"best,first,number one",N4
一瞬,いっしゅん,"a moment,an instant",N4
一種,いっしゅ,"a species,a kind,a variety",N4
一致,いっち,"(N1) coincidence,agreement,(N2) conformity",N4
一般,いっぱん,"general,liberal,universal,ordinary,average",N4
一言,ひとこと,single word,N4
万一,まんいち,"by some chance,by some possibility,if by any chance,N10EN4:N1 odds",N4
上京,じょうきょう,proceeding to the capital (Tokyo),N4
上等,じょうとう,"superiority,first class,very good",N4
上達,じょうたつ,"improvement,advance,progress",N4
下さる,くださる,"(hon) to give,to confer",N4
下す,おろす,"to lower,to let go down",N4
下り,くだり,down-train (going away from Tokyo),N4
不,ぶ,"un,non,negative prefix",N4
不利,ふり,"disadvantage,handicap,unfavorable,drawback",N4
不可,ふか,"wrong,bad,improper,unjustifiable,inadvisable",N4
不安,ふあん,"anxiety,uneasiness,insecurity,suspense",N4
不平,ふへい,"complaint,discontent,dissatisfaction",N4
不幸,ふこう,"unhappiness,sorrow,misfortune,disaster,accident,death",N4
不思議,ふしぎ,"mystery,curiosity",N4
不正,ふせい,"injustice,unfairness",N4
不満,ふまん,"dissatisfaction,displeasure,discontent,complaints,unhappiness",N4
不自由,ふじゆう,"discomfort,disability,inconvenience,destitution",N4
不足,ふそく,"insufficiency,shortage,deficiency,lack,dearth",N4
与える,あたえる,"to give,to present,to award",N4
世の中,よのなか,"society,the world,the times",N4
世紀,せいき,"century,era",N4
世話,せわ,"looking after,help,aid,assistance",N4
世間,せけん,"world,society",N4
丘,おか,"hill,height,knoll,rising ground",N4
両替,りょうがえ,"change,money exchange",N4
中古,ちゅうこ,"(N1) used,second-hand,old",N4
中央,ちゅうおう,"centre,central,center,middle",N4
中学,ちゅうがく,"middle school,junior high school",N4
中心,ちゅうしん,"center,core,heart,pivot,emphasis,balance",N4
中止,ちゅうし,"suspension,stoppage,discontinuance,interruption",N4
丸,まる,"circle,full (month),perfection,purity,suffix for ship names",N4
丸い,まるい,"round,circular,spherical",N4
主に,おもに,"mainly,primarily",N4
主婦,しゅふ,"housewife,mistress",N4
主張,しゅちょう,"claim,request,insistence,assertion",N4
主義,しゅぎ,"doctrine,rule,principle",N4
主要,しゅよう,"chief,main,principal,major",N4
乗せる,のせる,"to place on (something),to take on board,to give a ride",N4
乗客,じょうきゃく,passenger,N4
予報,よほう,"forecast,prediction",N4
予期,よき,"expectation,assume will happen,forecast",N4
予測,よそく,"prediction,estimation",N4
予算,よさん,"estimate,budget",N4
予防,よぼう,"prevention,precaution,protection against",N4
事,こと,"thing,matter,fact,circumstances",N4
事件,じけん,"event,affair,incident",N4
事務,じむ,"business,office work",N4
事実,じじつ,"fact,truth,reality",N4
事情,じじょう,"circumstances,consideration,conditions,situation,reasons",N4
事態,じたい,"situation,present state of affairs",N4
二十,はたち,"N20 years old,N20th year",N4
互い,たがい,"mutual,reciprocal",N4
交換,こうかん,"exchange,interchange,reciprocity",N4
交際,こうさい,"company,friendship,association,society,acquaintance",N4
人工,じんこう,"artificial,manmade,human work,human skill,artificiality",N4
人気,にんき,sign of life,N4
人物,じんぶつ,"character,personality,person,man,personage,talented man",N4
人生,じんせい,(human) life (i.e. conception to death),N4
人種,じんしゅ,race (of people),N4
人込み,ひとごみ,crowd of people,N4
人間,にんげん,"human being,man,person",N4
人類,じんるい,"mankind,humanity",N4
今に,いまに,"before long,even now",N4
今にも,いまにも,"at any time,soon",N4
今回,こんかい,"now,this time,lately",N4
今後,こんご,"from now on,hereafter",N4
仏,ほとけ,"Buddha,merciful person,Buddhist image,the dead",N4
他,ほか,other (esp. places and things),N4
他人,たにん,"another person,unrelated person,outsider,stranger",N4
付き合い,つきあい,"association,socializing,fellowship",N4
付ける,つける,"to attach,to join,to add,to append",N4
代理,だいり,"representation,agency,proxy,deputy,agent",N4
代表,だいひょう,"representative,representation,delegation,type,example,model",N4
代金,だいきん,"price,payment,cost,charge",N4
以前,いぜん,"ago,since,before,previous",N4
以来,いらい,"since,henceforth",N4
仲,なか,"relation,relationship",N4
仲間,なかま,"company,fellow,colleague,associate",N4
任せる,まかせる,"to entrust to another,to leave to",N4
企業,きぎょう,"enterprise,undertaking",N4
休憩,きゅうけい,"rest,break,recess,intermission",N4
休暇,きゅうか,"holiday,day off,furlough",N4
会,かい,"meeting,assembly,party,association,club",N4
会合,かいごう,"meeting,assembly",N4
会員,かいいん,"member,the membership",N4
会計,かいけい,"account,finance,accountant",N4
伝統,でんとう,"tradition,convention",N4
伸ばす,のばす,"to lengthen,to stretch,to reach out,to grow (beard)",N4
伸びる,のびる,"to stretch,to extend,to make progress,to grow (beard, body height)",N4
伺う,うかがう,"(hon) to visit,to ask,to inquire",N4
似合う,にあう,"to suit,to match,to become,to be like",N4
位,くらい,"grade,rank,about",N4
位置,いち,"place,situation,position,location",N4
住宅,じゅうたく,"resident,housing",N4
住民,じゅうみん,"citizens,inhabitants,residents,population",N4
体温,たいおん,temperature (body),N4
体育,たいいく,"physical education,gymnastics,athletics",N4
何か,なにか,something,N4
何で,なんで,"Why?,What for?",N4
何でも,なんでも,"by all means,everything",N4
何とか,なんとか,"somehow,anyhow,one way or another",N4
余り,あまり,"not very (used as adverb),not much",N4
余分,よぶん,"extra,excess,surplus",N4
余裕,よゆう,"surplus,composure,margin,room,time,allowance,scope,rope",N4
作品,さくひん,"work,opus,performance,production",N4
作家,さっか,"author,writer,novelist,artist",N4
作曲,さっきょく,"composition,setting (of music)",N4
作業,さぎょう,"work,operation,manufacturing,fatigue duty",N4
作法,さほう,"manners,etiquette,propriety",N4
作物,さくもつ,"produce (e.g. agricultural),crops",N4
使用,しよう,"use,application,employment,utilization",N4
例,れい,"instance,example,case",N4
供給,きょうきゅう,"supply,provision",N4
依頼,いらい,"(N1) request,commission,dispatch,(N2) dependence,trust",N4
価値,かち,"value,worth,merit",N4
価格,かかく,"price,value,cost",N4
便,びん,"way,means",N4
便り,たより,"news,tidings,information,correspondence,letter",N4
係,かかり,"official,duty,person in charge",N4
保存,ほぞん,"preservation,conservation,storage,maintenance",N4
保証,ほしょう,"guarantee,security,assurance,pledge,warranty",N4
信じる,しんじる,"to believe,to place trust in",N4
信仰,しんこう,"(religious) faith,belief,creed",N4
信号,しんごう,"traffic lights,signal,semaphore",N4
信用,しんよう,"confidence,dependence,credit,faith",N4
信頼,しんらい,"reliance,trust,confidence",N4
修正,しゅうせい,"amendment,correction,revision,modification",N4
修理,しゅうり,"repairing,mending",N4
俳優,はいゆう,"actor,actress,player,performer",N4
個人,こじん,"individual,private person,personal,private",N4
倒す,たおす,"to throw down,to beat,to bring down,to blow down",N4
候補,こうほ,candidacy,N4
借金,しゃっきん,"debt,loan,liabilities",N4
値,ね,"value,price,cost",N4
値段,ねだん,"price,cost",N4
偉大,いだい,greatness,N4
停留所,ていりゅうじょ,bus or tram stop,N4
健康,けんこう,"health,sound,wholesome",N4
側,そば,"side,edge,third person",N4
偶,たま,"even number,couple,man and wife,friend",N4
偶々,たまたま,"casually,unexpectedly,accidentally,by chance",N4
偶然,ぐうぜん,"(by) chance,unexpectedly,suddenly",N4
備える,そなえる,"to furnish,to provide for,to equip,to install",N4
傷,きず,"wound,injury,hurt,cut",N4
傾向,けいこう,"tendency,trend,inclination",N4
僅か,わずか,"only,merely,a little,small quantity",N4
働き,はたらき,"work,labor",N4
優れる,すぐれる,"to surpass,to outstrip,to excel",N4
優勝,ゆうしょう,"overall victory,championship",N4
優秀,ゆうしゅう,"superiority,excellence",N4
元,もと,"(N1) origin,original,(N2) former",N4
先ず,まず,"first (of all),to start with,about,almost,hardly (with neg. verb)",N4
先日,せんじつ,"the other day,a few days ago",N4
光景,こうけい,"scene,spectacle",N4
克服,こくふく,"subjugation,conquest",N4
免許,めんきょ,"license,permit,licence,certificate",N4
兎,うさぎ,"rabbit,hare,cony",N4
党,とう,party (political),N4
入場,にゅうじょう,"entrance,admission,entering",N4
入学,にゅうがく,"entry to school or university,matriculation",N4
入院,にゅういん,hospitalization,N4
全,ぜん,"all,whole,entire,complete,overall,pan",N4
全く,まったく,"really,truly,entirely,completely",N4
全て,すべて,"all,the whole,entirely,in general,wholly",N4
全体,ぜんたい,"whole,entirety,whatever (is the matter)",N4
全員,ぜんいん,"all members (unanimity),all hands,the whole crew",N4
全国,ぜんこく,"country-wide,nation-wide,whole country,national",N4
全然,ぜんぜん,"(N1) wholly,entirely,completely,(N2) not at all (with neg. verb)",N4
公平,こうへい,"fairness,impartial,justice",N4
共に,ともに,"sharing with,participate in",N4
共同,きょうどう,"cooperation,association,collaboration,joint",N4
共通,きょうつう,"commonness,community",N4
具体,ぐたい,"concrete,tangible,material",N4
典型,てんけい,"type,pattern,archetypal",N4
内,うち,inside,N4
内容,ないよう,"subject,contents,matter,substance,detail,import",N4
円,まる,"circle,money",N4
再び,ふたたび,"again,once more,a second time",N4
冒険,ぼうけん,"risk,venture,adventure",N4
冗談,じょうだん,"jest,joke",N4
冷静,れいせい,"calm,composure,coolness,serenity",N4
凍る,こおる,"to freeze,to be frozen over,to congeal",N4
処理,しょり,"processing,dealing with,treatment,disposition,disposal",N4
出会い,であい,"meeting,rendezvous,encounter",N4
出会う,であう,"to meet by chance,to come across,to happen to encounter",N4
出席,しゅっせき,"attendance,presence",N4
出来るだけ,できるだけ,if at all possible,N4
出来事,できごと,"incident,affair,happening,event",N4
出版,しゅっぱん,publication,N4
出発,しゅっぱつ,departure,N4
出身,しゅっしん,"graduate from,come from",N4
刀,かたな,"sword,saber,knife,engraving tool",N4
分,ぶ,"dividing,part",N4
分ける,わける,"to divide,to separate",N4
分析,ぶんせき,analysis,N4
分野,ぶんや,"field,sphere,realm,division,branch",N4
切れ,きれ,"cloth,piece,cut,chop",N4
切れる,きれる,"(N1) to cut well,to be sharp,(N2) to break (off)",N4
刈る,かる,"to cut (hair),to mow (grass),to harvest",N4
刑事,けいじ,"criminal case,(police) detective",N4
列,れつ,"queue,line,row",N4
列車,れっしゃ,train (ordinary),N4
判断,はんだん,"judgement,decision",N4
別に,べつに,"(not) particularly,nothing",N4
別れ,わかれ,"parting,separation,farewell",N4
